age_group,category,a,b,c,d,hki_total,e,f,g,klw_total,h,j,kle_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
18-20,F,"1,237",601,"4,250","1,912","8,000","1,417","2,480","2,139","6,036","4,052","5,474","9,526","1,946","4,888","6,402","4,308","1,094","18,638","3,738","3,745","4,021","6,204","17,708","59,908"
18-20,Sub-total,"2,613","1,176","8,651","3,863","16,303","2,971","5,085","4,462","12,518","8,382","11,338","19,720","4,155","10,442","13,497","8,782","2,242","39,118","7,916","7,780","8,417","13,050","37,163","124,822"
21-25,F,"2,370","1,090","7,688","3,648","14,796","2,453","4,242","3,751","10,446","6,047","8,151","14,198","3,224","8,273","9,077","7,538","1,532","29,644","5,830","5,894","6,230","9,946","27,900","96,984"
21-25,Sub-total,"4,752","2,153","15,086","7,139","29,130","4,965","8,352","7,408","20,725","12,282","16,462","28,744","6,435","16,882","18,643","15,055","3,112","60,127","11,742","11,763","12,346","19,804","55,655","194,381"
26-30,F,"3,316","1,569","9,843","4,769","19,497","3,443","5,217","4,741","13,401","7,338","10,251","17,589","4,229","10,445","9,534","9,503","1,908","35,619","6,397","6,983","6,781","13,329","33,490","119,596"
26-30,Sub-total,"6,386","3,077","19,435","9,503","38,401","7,020","10,544","9,330","26,894","14,741","21,055","35,796","8,343","21,186","19,324","18,728","3,709","71,290","12,783","13,915","13,321","26,687","66,706","239,087"
31-35,F,"4,110","2,147","11,479","4,848","22,584","4,749","5,574","5,842","16,165","7,547","10,755","18,302","5,749","10,590","9,918","10,177","2,222","38,656","4,713","5,207","8,575","13,622","32,117","127,824"
31-35,Sub-total,"8,031","4,148","23,096","9,867","45,142","9,867","11,402","11,816","33,085","15,471","22,479","37,950","11,615","22,496","20,466","21,351","4,416","80,344","9,965","10,709","16,684","28,346","65,704","262,225"
36-40,F,"4,936","2,564","13,177","5,535","26,212","5,516","5,984","7,149","18,649","8,695","11,833","20,528","6,800","8,842","11,259","11,324","2,888","41,113","5,434","4,868","11,049","12,810","34,161","140,663"
36-40,Sub-total,"9,317","5,027","25,768","11,040","51,152","11,367","12,100","14,310","37,777","17,451","24,209","41,660","13,518","17,657","22,476","23,975","5,519","83,145","10,663","9,503","21,334","25,131","66,631","280,365"
41-45,F,"5,431","2,959","15,243","7,164","30,797","5,281","6,868","7,658","19,807","10,854","13,943","24,797","7,399","11,791","13,978","11,698","3,334","48,200","7,981","7,183","11,789","15,462","42,415","166,016"
41-45,Sub-total,"10,229","5,557","28,901","13,678","58,365","10,780","13,664","14,977","39,421","21,438","27,931","49,369","14,219","22,045","26,811","23,802","6,518","93,395","14,944","13,052","22,803","28,683","79,482","320,032"
46-50,F,"6,823","3,630","20,186","9,078","39,717","5,914","8,854","9,423","24,191","14,834","17,458","32,292","8,756","17,592","17,509","14,644","3,982","62,483","11,171","12,141","14,119","22,118","59,549","218,232"
46-50,Sub-total,"13,164","6,926","38,622","17,583","76,295","11,924","17,591","18,441","47,956","29,871","34,862","64,733","17,609","33,354","35,814","28,986","8,139","123,902","21,557","22,009","27,914","41,694","113,174","426,060"
51-55,F,"6,532","3,729","19,244","8,744","38,249","5,738","9,454","8,905","24,097","13,405","16,865","30,270","7,597","17,981","14,714","14,731","3,492","58,515","10,362","11,650","11,990","22,313","56,315","207,446"
51-55,Sub-total,"13,148","7,263","37,998","17,300","75,709","11,525","19,103","17,435","48,063","27,389","33,684","61,073","15,342","34,922","32,324","29,250","7,482","119,320","21,207","23,219","24,915","43,437","112,778","416,943"
56-60,F,"5,619","3,447","16,703","6,977","32,746","5,200","7,424","8,050","20,674","10,089","14,416","24,505","6,012","14,181","9,808","12,277","2,502","44,780","6,387","7,751","8,206","18,134","40,478","163,183"
56-60,Sub-total,"11,391","6,900","32,833","14,109","65,233","10,717","15,621","15,571","41,909","20,376","28,585","48,961","12,114","28,904","21,912","24,292","5,659","92,881","14,414","16,425","17,352","35,892","84,083","333,067"
61-65,F,"4,063","2,697","12,452","5,135","24,347","4,235","5,457","6,656","16,348","7,527","11,275","18,802","4,616","7,246","5,632","10,087","1,556","29,137","3,429","3,985","5,403","11,306","24,123","112,757"
61-65,Sub-total,"8,504","5,497","25,107","10,218","49,326","8,496","11,238","12,928","32,662","14,744","22,139","36,883","9,300","0 16,837","13,138","19,494","3,588","62,357","8,017","9,169","11,606","23,832","52,624","233,852"
66-70,F,"2,182","1,608","7,480","3,013","14,283","2,775","3,823","4,589","11,187","5,558","8,376","13,934","3,018","3,568","3,459","6,872",900,"17,817","2,119","2,191","3,189","5,861","13,360","70,581"
66-70,Sub-total,"4,645","3,303","15,492","6,105","29,545","5,957","8,288","9,298","23,543","11,456","18,389","29,845","6,510","9,536","8,621","15,307","2,120","42,094","5,158","5,232","7,056","13,775","31,221","156,248"
71 or above,F,"6,879","5,286","23,824","10,802","46,791","8,435","14,725","13,973","37,133","24,576","27,455","52,031","7,379","9,878","11,429","16,762","3,354","48,802","8,395","7,375","8,425","17,339","41,534","226,291"
71 or above,Sub-total,"14,110","10,524","45,644","20,716","90,994","17,464","29,427","27,513","74,404","44,788","54,899","99,687","15,217","20,041","22,856","34,585","6,562","99,261","15,818","14,100","16,331","33,915","80,164","444,510"
Total,F,"53,498","31,327","161,569","71,625","318,019","55,156","80,102","82,876","218,134","120,522","156,252","276,774","66,725","125,275","122,719","129,921","28,764","473,404","75,956","78,973","99,777","168,444","423,150","1,709,481"
Grand Total,,"106,290","61,551","316,633","141,121","625,595","113,053","162,415","163,489","438,957","238,389","316,032","554,421","134,377","254,302","255,882","263,607","59,066","967,234","154,184","156,876","200,079","334,246","845,385","3,431,592"
